pass_cmp_home_off,pass_att_home_off,pass_pct_home_off,pass_yds_home_off,pass_td_home_off,rush_att_home_off,rush_yds_home_off,rush_avg_home_off,rush_td_home_off,total_plays_home_off,total_yds_home_off,total_avg_home_off,penalty_num_home_off,penalty_yds_home_off,fumbles_home_off,interceptions_home_off,turnovers_home_off,pass_cmp_home_def,pass_att_home_def,pass_pct_home_def,pass_yds_home_def,pass_td_home_def,rush_att_home_def,rush_yds_home_def,rush_avg_home_def,rush_td_home_def,total_plays_home_def,total_yds_home_def,total_avg_home_def,penalty_num_home_def,penalty_yds_home_def,fumbles_home_def,interceptions_home_def,turnovers_home_def,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,total_plays,total_yds,total_avg,penalty_num,penalty_yds,fumbles,interceptions,turnovers,pass_cmp_away_off,pass_att_away_off,pass_pct_away_off,pass_yds_away_off,pass_td_away_off,rush_att_away_off,rush_yds_away_off,rush_avg_away_off,rush_td_away_off,total_plays_away_off,total_yds_away_off,total_avg_away_off,penalty_num_away_off,penalty_yds_away_off,fumbles_away_off,interceptions_away_off,turnovers_away_off
17.5,30.0,58.3,178.8,0.8,35.0,150.8,4.3,1.0,65.0,329.7,5.1,6.3,58.8,0.3,0.3,0.7,18.8,32.7,57.7,208.5,1.3,43.7,181.0,4.1,1.7,76.3,389.5,5.1,6.3,51.7,0.8,1.2,2.0,20.7,32.9,63.0,247.4,2.6,38.0,170.0,4.5,2.1,70.9,417.4,5.9,6.3,58.9,0.4,0.3,0.7,24.1,40.0,60.4,255.7,1.7,29.7,82.7,2.8,0.6,69.7,338.4,4.9,5.9,51.6,1.0,0.9,1.9
20.7,32.9,63.0,247.4,2.6,38.0,170.0,4.5,2.1,70.9,417.4,5.9,6.3,58.9,0.4,0.3,0.7,24.1,40.0,60.4,255.7,1.7,29.7,82.7,2.8,0.6,69.7,338.4,4.9,5.9,51.6,1.0,0.9,1.9,21.2,35.8,59.1,300.7,2.5,30.7,94.2,3.1,0.8,66.5,394.8,5.9,6.8,62.0,0.7,1.8,2.5,17.0,32.2,52.8,227.8,1.8,41.0,263.0,6.4,2.7,73.2,490.8,6.7,8.7,81.5,1.0,1.2,2.2
20.8,31.5,66.1,292.8,3.3,39.8,147.7,3.7,1.7,71.3,440.5,6.2,4.7,43.0,0.2,0.3,0.5,18.8,32.7,57.7,235.3,2.3,38.7,149.7,3.9,0.7,71.3,385.0,5.4,6.5,56.7,1.0,0.8,1.8,20.7,32.9,63.0,247.4,2.6,38.0,170.0,4.5,2.1,70.9,417.4,5.9,6.3,58.9,0.4,0.3,0.7,24.1,40.0,60.4,255.7,1.7,29.7,82.7,2.8,0.6,69.7,338.4,4.9,5.9,51.6,1.0,0.9,1.9
20.7,32.9,63.0,247.4,2.6,38.0,170.0,4.5,2.1,70.9,417.4,5.9,6.3,58.9,0.4,0.3,0.7,24.1,40.0,60.4,255.7,1.7,29.7,82.7,2.8,0.6,69.7,338.4,4.9,5.9,51.6,1.0,0.9,1.9,20.9,35.0,59.6,220.6,1.9,35.6,134.4,3.8,0.9,70.6,355.0,5.0,7.6,62.4,0.6,0.6,1.1,19.1,33.0,58.0,188.4,1.0,28.0,122.4,4.4,1.0,61.0,310.9,5.1,6.1,60.3,0.3,1.6,1.9
20.5,34.0,60.3,236.3,1.8,31.2,68.0,2.2,0.7,65.2,304.3,4.7,5.2,36.2,1.0,1.0,2.0,17.8,31.3,56.9,219.0,1.3,37.0,152.7,4.1,2.2,68.3,371.7,5.4,6.2,50.0,0.2,0.7,0.8,20.7,32.9,63.0,247.4,2.6,38.0,170.0,4.5,2.1,70.9,417.4,5.9,6.3,58.9,0.4,0.3,0.7,24.1,40.0,60.4,255.7,1.7,29.7,82.7,2.8,0.6,69.7,338.4,4.9,5.9,51.6,1.0,0.9,1.9
19.1,31.4,60.9,260.6,1.9,36.3,204.4,5.6,2.1,67.7,465.0,6.9,7.0,63.7,0.4,0.7,1.1,17.0,27.9,61.0,175.0,1.7,39.9,157.0,3.9,1.0,67.7,332.0,4.9,6.1,52.4,0.6,0.6,1.1,20.7,32.9,63.0,247.4,2.6,38.0,170.0,4.5,2.1,70.9,417.4,5.9,6.3,58.9,0.4,0.3,0.7,24.1,40.0,60.4,255.7,1.7,29.7,82.7,2.8,0.6,69.7,338.4,4.9,5.9,51.6,1.0,0.9,1.9
18.0,26.2,68.8,243.2,2.0,38.8,188.5,4.9,2.0,65.0,431.7,6.6,9.5,70.3,0.5,0.5,1.0,18.5,28.8,64.2,173.8,0.8,29.7,95.0,3.2,0.8,58.5,268.8,4.6,7.5,64.8,0.7,0.8,1.5,18.0,30.2,59.7,230.0,0.7,41.8,207.2,5.0,2.7,72.0,437.2,6.1,7.7,68.8,1.0,0.8,1.8,18.2,28.3,64.1,227.5,1.7,35.2,133.8,3.8,1.2,63.5,361.3,5.7,10.3,71.8,0.7,1.3,2.0
12.4,21.0,58.9,103.1,1.0,41.0,186.9,4.6,1.3,62.0,290.0,4.7,5.9,50.0,1.1,0.5,1.6,21.6,32.8,66.0,238.5,1.4,37.0,156.0,4.2,2.0,69.8,394.5,5.7,4.4,37.4,0.5,0.9,1.4,18.0,26.2,68.8,243.2,2.0,38.8,188.5,4.9,2.0,65.0,431.7,6.6,9.5,70.3,0.5,0.5,1.0,18.5,28.8,64.2,173.8,0.8,29.7,95.0,3.2,0.8,58.5,268.8,4.6,7.5,64.8,0.7,0.8,1.5
18.0,26.2,68.8,243.2,2.0,38.8,188.5,4.9,2.0,65.0,431.7,6.6,9.5,70.3,0.5,0.5,1.0,18.5,28.8,64.2,173.8,0.8,29.7,95.0,3.2,0.8,58.5,268.8,4.6,7.5,64.8,0.7,0.8,1.5,29.7,44.4,66.9,313.4,2.4,33.1,133.1,4.0,1.7,77.6,446.6,5.8,6.0,61.7,0.9,0.9,1.7,17.4,31.6,55.2,248.4,2.1,31.4,100.3,3.2,0.7,63.0,348.7,5.5,5.7,55.9,0.3,1.4,1.7
18.0,26.2,68.8,243.2,2.0,38.8,188.5,4.9,2.0,65.0,431.7,6.6,9.5,70.3,0.5,0.5,1.0,18.5,28.8,64.2,173.8,0.8,29.7,95.0,3.2,0.8,58.5,268.8,4.6,7.5,64.8,0.7,0.8,1.5,19.3,35.5,54.5,227.2,0.8,32.5,129.7,4.0,1.3,68.0,356.8,5.2,7.5,71.3,1.3,1.2,2.5,20.0,30.5,65.6,212.0,1.2,40.7,163.0,4.0,1.5,71.2,375.0,5.3,7.0,64.2,1.2,0.7,1.8
