team,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,total_plays,total_yds,total_avg,remove_1,remove_2,remove_3,remove_4,penalty_num,penalty_yds,fumbles,interceptions,turnovers
clemson,27.2,40.8,66.5,348.5,2.6,34.3,153.8,4.5,2.8,75.1,502.3,6.7,14.6,8.3,1.7,24.6,5.4,48.2,0.8,0.5,1.3
notre-dame,19.3,30.2,63.8,237.4,1.3,42.1,211.1,5.0,2.8,72.3,448.5,6.2,10.8,10.8,2.5,24.2,4.4,38.0,0.7,0.3,0.9
north-carolina-state,21.0,33.4,62.8,262.8,2.0,35.9,123.3,3.4,1.7,69.3,386.2,5.6,12.2,7.5,2.6,22.3,8.0,74.3,0.3,1.3,1.6
boston-college,22.0,35.5,62.1,284.2,2.1,32.8,101.7,3.1,1.0,68.3,385.9,5.7,12.1,7.5,2.2,21.8,7.5,65.9,0.5,0.7,1.3
wake-forest,19.4,34.4,56.5,281.4,1.6,42.2,163.1,3.9,2.4,76.7,444.6,5.8,12.1,9.1,2.1,23.3,5.3,44.6,0.2,0.6,0.8
louisville,18.4,28.5,64.3,244.2,1.8,38.2,200.0,5.2,1.9,66.7,444.2,6.7,10.3,10.3,2.0,20.8,6.2,52.0,1.1,1.1,2.2
florida-state,17.7,32.4,54.5,196.8,1.1,38.8,202.0,5.2,2.1,71.2,398.8,5.6,8.6,11.8,2.2,20.6,8.9,77.8,0.4,1.4,1.9
syracuse,15.7,30.5,51.5,173.3,1.4,29.1,92.0,3.2,0.5,59.6,265.3,4.4,7.3,4.8,1.1,13.2,7.1,67.3,0.8,1.1,1.9
miami-fl,21.7,34.6,62.7,277.3,2.4,38.1,163.0,4.3,1.6,72.7,440.3,6.1,11.5,9.0,2.5,22.9,7.8,70.5,0.5,0.5,1.1
north-carolina,20.3,29.8,68.3,301.4,2.6,41.0,235.8,5.8,2.9,70.8,537.3,7.6,12.5,11.9,2.0,26.4,7.1,67.8,0.4,0.7,1.1
pittsburgh,22.3,38.6,57.6,259.7,1.3,35.3,120.1,3.4,1.8,73.9,379.8,5.1,11.3,6.6,2.7,20.6,8.0,70.4,0.4,1.1,1.5
virginia-tech,14.4,23.2,62.0,200.6,1.2,43.0,240.1,5.6,2.5,66.2,440.7,6.7,8.5,12.2,1.7,22.4,5.3,47.0,0.7,0.5,1.3
virginia,22.1,37.9,58.3,260.6,2.2,36.6,162.7,4.4,1.6,74.5,423.3,5.7,11.6,9.5,2.5,23.6,5.2,45.8,0.5,1.4,1.9
georgia-tech,15.2,28.3,53.7,199.1,1.4,40.8,190.8,4.7,1.8,69.1,389.9,5.6,8.5,9.9,1.5,19.9,8.9,74.9,1.2,1.3,2.5
duke,20.0,35.5,56.3,222.6,1.0,39.8,157.1,3.9,1.7,75.4,379.7,5.0,10.8,8.5,2.4,21.6,5.6,50.4,1.8,1.7,3.5
cincinnati,19.7,29.5,66.8,238.6,2.0,38.1,212.4,5.6,2.9,67.6,451.0,6.7,11.2,9.7,1.0,21.9,8.8,76.8,1.0,0.6,1.6
tulsa,19.2,34.0,56.5,252.8,1.7,39.6,161.3,4.1,1.4,73.6,414.1,5.6,11.4,9.3,1.3,22.1,9.0,82.4,0.8,1.2,2.0
memphis,23.2,38.5,60.3,307.9,2.8,35.6,145.9,4.1,0.8,74.1,453.8,6.1,12.3,8.6,2.7,23.6,5.5,47.3,0.8,0.9,1.7
central-florida,24.9,41.5,60.0,357.4,3.2,44.4,210.7,4.7,2.3,85.9,568.1,6.6,14.4,12.3,1.6,28.3,9.2,74.8,0.6,0.4,1.0
southern-methodist,24.6,37.6,65.4,318.0,2.3,37.7,176.5,4.7,2.4,75.3,494.5,6.6,12.7,9.5,2.9,25.1,6.8,59.0,0.6,0.6,1.2
houston,21.9,37.1,58.9,265.8,1.9,36.6,143.1,3.9,1.5,73.8,408.9,5.5,12.9,8.6,1.4,22.9,7.6,68.3,0.8,1.3,2.0
navy,5.7,12.4,46.0,97.4,0.6,48.2,177.7,3.7,1.5,60.6,275.1,4.5,3.6,10.0,0.7,14.3,4.4,40.2,0.7,0.4,1.1
tulane,13.8,26.1,52.7,176.7,1.8,42.8,217.3,5.1,2.7,68.8,394.0,5.7,8.6,11.3,1.5,21.4,6.2,50.6,0.3,0.8,1.2
east-carolina,19.6,32.6,60.1,229.6,2.1,40.2,173.8,4.3,1.2,72.8,403.3,5.5,10.1,8.9,3.0,22.0,6.3,58.2,1.3,1.0,2.3
temple,20.9,34.3,60.8,209.4,1.6,40.6,143.1,3.5,0.7,74.9,352.6,4.7,11.4,7.7,1.7,20.9,5.4,45.9,0.4,1.6,2.0
south-florida,20.8,34.8,59.7,216.6,1.3,37.4,148.8,4.0,1.2,72.2,365.3,5.1,10.8,8.4,1.7,20.9,5.3,50.2,1.2,0.7,1.9
oklahoma,22.6,32.9,68.8,315.0,2.7,38.1,179.7,4.7,2.5,71.0,494.7,7.0,14.2,8.7,2.0,24.9,7.2,65.7,0.5,0.7,1.3
iowa-state,20.8,31.1,66.8,241.3,1.7,37.9,195.0,5.1,2.6,69.0,436.3,6.3,11.3,10.1,1.6,22.9,5.1,42.6,0.4,0.8,1.2
oklahoma-state,18.8,31.0,60.7,239.5,1.6,46.0,188.0,4.1,1.5,77.0,427.5,5.6,10.5,10.4,2.7,23.6,6.6,53.9,0.5,0.9,1.5
texas,20.8,34.5,60.3,280.1,3.2,37.0,195.3,5.3,2.0,71.5,475.4,6.6,11.3,9.0,2.1,22.4,8.2,78.5,0.4,0.5,0.9
texas-christian,16.4,27.3,60.1,196.3,1.1,41.1,216.1,5.3,2.3,68.4,412.4,6.0,7.5,10.2,1.9,19.6,7.7,63.3,0.9,0.5,1.4
west-virginia,25.3,40.1,63.1,277.5,1.6,35.8,135.1,3.8,1.5,75.9,412.6,5.4,12.5,7.4,2.0,21.9,8.2,74.1,0.7,0.4,1.1
kansas-state,13.7,24.7,55.5,185.7,1.2,35.3,151.9,4.3,1.7,60.0,337.6,5.6,6.7,7.2,1.6,15.5,6.4,54.9,0.5,1.0,1.5
texas-tech,25.9,39.8,65.1,266.7,1.8,33.6,163.4,4.9,1.7,73.4,430.1,5.9,11.8,8.2,1.4,21.4,6.7,57.7,0.8,1.1,1.9
baylor,22.8,36.8,61.9,219.9,1.6,33.1,90.3,2.7,0.9,69.9,310.2,4.4,9.6,6.7,2.1,18.3,7.2,62.4,0.1,0.9,1.0
kansas,17.2,31.4,54.8,154.3,0.8,39.3,104.9,2.7,1.0,70.8,259.2,3.7,7.4,6.6,1.9,15.9,5.7,46.4,0.4,1.1,1.6
ohio-state,19.8,28.1,70.2,262.5,2.8,43.1,256.9,6.0,2.4,71.3,519.4,7.3,11.4,11.0,2.5,24.9,6.1,54.4,0.4,0.8,1.1
indiana,21.0,36.5,57.5,250.9,2.0,34.0,111.8,3.3,1.5,70.5,362.6,5.1,10.8,7.0,2.5,20.3,4.3,44.8,0.9,0.6,1.5
penn-state,20.6,34.1,60.3,256.0,1.9,44.7,174.3,3.9,1.7,78.8,430.3,5.5,12.1,11.0,1.7,24.8,4.3,37.2,0.9,1.0,1.9
