home_team,away_team,outcome,pts_for,pts_against
clemson,georgia,L,10,3
clemson,south-carolina-state,W,49,3
clemson,georgia-tech,W,8,14
north-carolina-state,clemson,W,27,21
clemson,boston-college,W,19,13
syracuse,clemson,L,14,17
pitt,clemson,W,27,17
clemson,florida-state,W,30,20
louisville,clemson,L,24,30
clemson,connecticut,W,7,44
clemson,wake-forest,W,48,27
south-carolina,clemson,L,0,30
clemson,iowa-state,W,20,13
florida-state,notre-dame,L,38,41
notre-dame,toledo,W,32,29
notre-dame,purdue,W,27,13
notre-dame,wisconsin,W,41,13
notre-dame,cincinnati,L,13,24
virginia-tech,notre-dame,L,29,32
notre-dame,usc,W,31,16
notre-dame,north-carolina,W,44,34
notre-dame,navy,W,6,34
virginia,notre-dame,L,28,3
notre-dame,georgia-tech,W,55,0
stanford,notre-dame,L,14,45
notre-dame,oklahoma-state,L,35,37
north-carolina-state,south-florida,W,45,0
mississippi-state,north-carolina-state,W,24,10
north-carolina-state,furman,W,7,45
north-carolina-state,louisiana-tech,W,34,27
boston-college,north-carolina-state,L,33,7
miami-(fl),north-carolina-state,W,31,30
north-carolina-state,louisville,W,28,13
florida-state,north-carolina-state,L,14,28
wake-forest,north-carolina-state,W,45,42
north-carolina-state,syracuse,W,41,17
north-carolina-state,north-carolina,W,34,30
boston-college,colgate,W,51,0
massachusetts,boston-college,L,28,45
temple,boston-college,L,28,3
boston-college,missouri,W,41,34
louisville,boston-college,W,28,14
syracuse,boston-college,W,6,21
boston-college,virginia-tech,W,3,17
georgia-tech,boston-college,L,30,41
boston-college,florida-state,L,23,26
boston-college,wake-forest,L,10,41
wake-forest,old-dominion,W,42,10
wake-forest,norfolk-state,W,41,16
wake-forest,florida-state,W,35,14
virginia,wake-forest,L,17,37
wake-forest,louisville,W,37,34
syracuse,wake-forest,L,37,40
army,wake-forest,L,56,70
wake-forest,duke,W,7,45
north-carolina,wake-forest,W,58,55
wake-forest,pitt,L,21,45
wake-forest,rutgers,W,38,10
louisville,ole-miss,L,24,43
louisville,eastern-kentucky,W,30,3
louisville,ucf,W,42,35
florida-state,louisville,L,23,31
louisville,virginia,L,33,34
louisville,syracuse,W,41,3
duke,louisville,L,22,62
louisville,kentucky,L,21,52
louisville,air-force,L,28,31
florida-state,jacksonville-state,L,17,20
florida-state,syracuse,W,33,30
north-carolina,florida-state,L,25,35
florida-state,massachusetts,W,59,3
florida-state,miami-(fl),W,31,28
florida,florida-state,W,24,21
ohio,syracuse,L,29,9
syracuse,rutgers,L,17,7
syracuse,albany,W,62,24
syracuse,liberty,W,24,21
virginia-tech,syracuse,L,36,41
syracuse,pitt,L,14,31
miami-(fl),alabama,L,13,44
miami-(fl),appalachian-state,W,25,23
miami-(fl),michigan-state,L,17,38
miami-(fl),central-connecticut-state,W,69,0
miami-(fl),virginia,L,28,30
north-carolina,miami-(fl),W,45,42
pitt,miami-(fl),L,34,38
miami-(fl),georgia-tech,W,33,30
miami-(fl),virginia-tech,W,38,26
duke,miami-(fl),L,10,47
virginia-tech,north-carolina,W,17,10
north-carolina,georgia-state,W,59,17
north-carolina,virginia,W,59,39
north-carolina,georgia-tech,L,22,45
north-carolina,duke,W,7,38
pitt,north-carolina,W,30,23
north-carolina,wofford,W,34,14
north-carolina,south-carolina,L,21,38
pitt,massachusetts,W,7,51
tennessee,pitt,L,34,41
pitt,western-michigan,L,41,44
pitt,new-hampshire,W,77,7
georgia-tech,pitt,L,21,52
virginia-tech,pitt,L,28,7
duke,pitt,L,29,54
pitt,virginia,W,48,38
pitt,wake-forest,W,45,21
pitt,michigan-state,L,21,31
virginia-tech,middle-tennessee-state,W,35,14
west-virginia,virginia-tech,W,27,21
virginia-tech,richmond,W,21,10
georgia-tech,virginia-tech,L,17,26
virginia-tech,duke,W,48,17
virginia,virginia-tech,L,24,29
virginia-tech,maryland,L,10,54
virginia,william-&-mary,W,43,0
virginia,illinois,W,42,14
virginia,duke,W,48,0
virginia,georgia-tech,W,48,40
byu,virginia,W,66,49
georgia-tech,northern-illinois,L,21,22
georgia-tech,kennesaw-state,W,45,17
georgia-tech,north-carolina,W,45,22
duke,georgia-tech,L,27,31
georgia-tech,georgia,L,0,45
charlotte,duke,W,31,28
duke,north-carolina-a&t,W,45,17
duke,northwestern,W,30,23
duke,kansas,W,52,33
cincinnati,miami-(oh),W,49,14
cincinnati,murray-state,W,7,42
indiana,cincinnati,L,24,38
cincinnati,temple,W,52,3
cincinnati,ucf,W,56,21
navy,cincinnati,L,20,27
tulane,cincinnati,L,12,31
cincinnati,tulsa,W,28,20
south-florida,cincinnati,L,28,45
cincinnati,smu,W,48,14
east-carolina,cincinnati,L,13,35
cincinnati,houston,W,35,20
cincinnati,alabama,L,27,6
tulsa,california-davis,L,17,19
oklahoma-state,tulsa,W,28,23
ohio-state,tulsa,W,41,20
tulsa,arkansas-state,W,41,34
tulsa,houston,L,10,45
tulsa,memphis,W,35,29
south-florida,tulsa,L,31,32
tulsa,navy,L,17,20
tulane,tulsa,L,13,20
tulsa,temple,W,44,10
smu,tulsa,L,31,34
tulsa,old-dominion,W,30,17
memphis,nicholls-state,W,42,17
arkansas-state,memphis,L,50,55
memphis,mississippi-state,W,31,29
memphis,utsa,L,28,31
temple,memphis,W,34,31
memphis,navy,W,35,17
ucf,memphis,W,7,24
memphis,smu,W,28,25
memphis,east-carolina,L,29,30
houston,memphis,W,31,13
memphis,tulane,W,33,28
ucf,boise-state,W,36,31
ucf,bethune-cookman,W,63,14
navy,ucf,W,34,30
ucf,east-carolina,W,20,16
temple,ucf,L,49,7
ucf,tulane,W,14,10
smu,ucf,W,55,28
ucf,connecticut,W,49,17
ucf,south-florida,W,17,13
ucf,florida,W,29,17
smu,abilene-christian,W,9,56
smu,north-texas,W,35,12
louisiana-tech,smu,L,37,39
texas-christian,smu,L,34,42
smu,south-florida,W,41,17
navy,smu,L,24,31
smu,tulane,W,55,26
houston,smu,W,44,37
houston,texas-tech,L,21,38
rice,houston,L,44,7
houston,grambling-state,W,45,0
houston,navy,W,28,20
tulane,houston,L,22,40
houston,east-carolina,W,31,24
south-florida,houston,L,42,54
temple,houston,L,37,8
connecticut,houston,L,17,45
houston,auburn,W,17,13
navy,marshall,L,49,7
navy,air-force,L,23,3
navy,east-carolina,L,35,38
temple,navy,L,14,38
navy,army,W,17,13
oklahoma,tulane,W,40,35
tulane,morgan-state,W,69,20
ole-miss,tulane,W,61,21
tulane,uab,L,21,28
east-carolina,tulane,W,52,29
tulane,south-florida,W,45,14
east-carolina,appalachian-state,L,19,33
east-carolina,south-carolina,L,17,20
marshall,east-carolina,L,38,42
east-carolina,charleston-southern,W,31,28
east-carolina,south-florida,W,29,14
east-carolina,temple,W,45,3
rutgers,temple,W,61,14
akron,temple,L,24,45
temple,wagner,W,7,41
south-florida,temple,W,34,14
south-florida,florida,L,20,42
south-florida,florida-a&m,W,38,17
byu,south-florida,W,35,27
oklahoma,western-carolina,W,76,0
oklahoma,nebraska,W,23,16
oklahoma,west-virginia,W,16,13
kansas-state,oklahoma,L,31,37
oklahoma,texas,W,55,48
oklahoma,texas-christian,W,52,31
kansas,oklahoma,L,23,35
oklahoma,texas-tech,W,52,21
baylor,oklahoma,W,27,14
oklahoma,iowa-state,W,28,21
oklahoma-state,oklahoma,W,37,33
oklahoma,oregon,W,47,32
iowa-state,northern-iowa,W,16,10
iowa-state,iowa,L,17,27
nevada-las-vegas,iowa-state,L,3,48
baylor,iowa-state,W,31,29
iowa-state,kansas,W,7,59
kansas-state,iowa-state,L,20,33
iowa-state,oklahoma-state,W,24,21
west-virginia,iowa-state,W,38,31
iowa-state,texas,W,7,30
texas-tech,iowa-state,W,41,38
iowa-state,texas-christian,W,48,14
iowa-state,clemson,L,13,20
oklahoma-state,missouri-state,W,23,16
boise-state,oklahoma-state,L,20,21
oklahoma-state,kansas-state,W,31,20
oklahoma-state,baylor,W,24,14
texas,oklahoma-state,L,24,32
oklahoma-state,kansas,W,55,3
