home_teams,away_teams
illinois,mississippi-state
penn-state,utah
purdue,louisiana-state
southern-california,tulane
georgia,ohio-state
kansas-state,alabama
kentucky,iowa
michigan,texas-christian
clemson,tennessee
north-carolina-state,maryland
south-carolina,notre-dame
ucla,pittsburgh
wyoming,ohio
florida-state,oklahoma
minnesota,syracuse
washington,texas
arkansas,kansas
duke,central-florida
mississippi,texas-tech
north-carolina,oregon
buffalo,georgia-southern
east-carolina,coastal-carolina
oklahoma-state,wisconsin
utah-state,memphis
